turn,alive_count,survival_fraction,x_mean,x_rms,y_mean,y_rms,z_mean,z_rms,delta_mean,delta_rms,px_rms,py_rms,emittance_proxy_x,emittance_proxy_y
296,9905,0.9905,4.6108631251469e-05,0.005097273537889325,-0.00013474970144520884,0.005006542995852892,-0.0020661697597715825,0.09465520477202648,-6.26690831930484e-05,0.0028139627506655247,0.00023386761367416825,0.0006819901855163967,1.0627125881108424e-06,1.0557429277069865e-06
297,9905,0.9905,3.2602807018363855e-05,0.003831068840110656,-9.184315535755555e-05,0.003519685444454953,-0.002078768462380385,0.09522058074322158,-6.299351304398564e-05,0.0028288141421319627,0.0003288929932940911,0.0006259815151163509,1.0634494215061444e-06,1.056746329501651e-06
298,9905,0.9905,1.794653234800058e-05,0.002675425414346809,-4.5667604046816664e-05,0.0023543375009811547,-0.0020914324463139804,0.09578895135438244,-6.331991966796473e-05,0.002843754389402057,0.0004259419864264217,0.0005494755525160157,1.0641745920768173e-06,1.0577785758880268e-06
299,9905,0.9905,2.661207418972298e-06,0.002118493026822944,2.1301306940704065e-06,0.002344553992164097,-0.00210416210897012,0.09636033435584801,-6.364831328074348e-05,0.002858783958048207,0.0005138877839857086,0.0004561396943842875,1.0648957001775174e-06,1.0588294581477855e-06
300,9905,0.9905,-1.2709745289600769e-05,0.0026539904101699086,4.984562947242994e-05,0.0035006172447970612,-0.00211695784980209,0.09693474759364888,-6.397870415984478e-05,0.002873903316438337,0.0005868769072797061,0.00035151991629647143,1.065622229782397e-06,1.0598872872397325e-06
301,9905,0.9905,-2.7620205474951093e-05,0.003802754376865174,9.577765765098085e-05,0.004985542923944054,-0.002129820070331069,0.09751220901003199,-6.431110264486808e-05,0.0028891129357496554,0.0006411563177200636,0.0002457526921426338,1.066364235851619e-06,1.0609405504436608e-06
302,9905,0.9905,-4.154076218714203e-05,0.005068291917023679,0.0001382888241991549,0.006443151470035156,-0.0021427491741586274,0.09809273664398876,-6.464551913780315e-05,0.002904413289982493,0.0006742532047206611,0.00016578870162667087,1.0671309277774043e-06,1.0619795842700184e-06
303,9905,0.9905,-5.39775138951135e-05,0.006255579938315085,0.00017586395406623192,0.007737532461693784,-0.002155745566979297,0.09867634863178677,-6.498196410334504e-05,0.0029198048559742245,0.0006847454456483272,0.0001717256266453566,1.06792934870652e-06,1.0629980208561092e-06
304,9905,0.9905,-6.448959371578798e-05,0.0072725675596784735,0.0002071640930238712,0.008793251472835911,-0.0021688096565931365,0.09926306320750494,-6.532044806921132e-05,0.0029352881134132726,0.0006721984059959291,0.0002571162115238232,1.0687633385723895e-06,1.0639937905860373e-06
305,9905,0.9905,-7.270479788344447e-05,0.008063067718402499,0.00023107422004376913,0.009560267592249927,-0.002181941852918428,0.09985289870357213,-6.566098162646079e-05,0.002950863544853195,0.0006371531435924953,0.00036351617629240974,1.0696329314231857e-06,1.0649695236437197e-06
306,9905,0.9905,-7.833276341361612e-05,0.008589801765503247,0.00024674296700873295,0.010005473382567241,-0.0021951425680043946,0.10044587355130946,-6.600357542981408e-05,0.0029665316357268515,0.0005811423436672035,0.0004671537045149734,1.070534280225477e-06,1.065932279300866e-06
307,9905,0.9905,-8.117522843574388e-05,0.008829743180259945,0.00025361293087475386,0.010110497454733053,-0.0022084122160439955,0.10104200628147582,-6.634824019797607e-05,0.0029822928743606604,0.0005067642371891206,0.000558726510462925,1.0714601316588887e-06,1.0668926304338872e-06
308,9905,0.9905,-8.113301270483272e-05,0.00877280454399765,0.0002514404991209592,0.009871177204948383,-0.0022217512133867823,0.10164131552481713,-6.669498671396e-05,0.0029981477519889286,0.0004179458689792652,0.0006329814926112214,1.0724007977050443e-06,1.0678632261036273e-06
309,9905,0.9905,-7.820947264281384e-05,0.008421520767728797,0.000240304483461574,0.009297494636083068,-0.0022351599785518624,0.10224382001261907,-6.704382582541364e-05,0.0030140967627682786,0.00032087981694933857,0.0006864212954268145,1.073345499344704e-06,1.068857031997396e-06
