id,active,lost_reason,x_m,y_m,y_prime_rad,z_m,z_prime_rad,beta,velocity_m_s,transverse_velocity_m_s,z_transverse_velocity_m_s,momentum_kg_m_s,transverse_momentum_kg_m_s,z_transverse_momentum_kg_m_s,kinetic_energy_ev
7021,True,,1.0224106423243067,-0.0010594346735291317,-0.00043793883395065785,-0.0004915508327171605,0.0003471044138880334,0.04592928602376399,13769251.401374297,-6030.089903091321,4779.367937351009,2.3055081944415653e-20,-1.0096715703374256e-23,8.002520705456977e-24,991210.6580899206
7022,True,,1.0318962773796516,-0.0005037027526645746,0.0012140329387251047,-0.00031673711560604496,-0.0020256831302834974,0.04611558737125495,13825066.737144047,16784.086398965683,-28005.204464476214,2.3148737422713123e-20,2.810332972107222e-23,-4.6892006884552264e-23,999281.0693576371
7023,True,,1.0191041515890362,-0.0006021599132086745,-0.0019595181738955394,-9.821887784639952e-05,0.0015873160948509397,0.04556544118769751,13660132.179254292,-26767.277263064065,21682.947665921576,2.2871992423649677e-20,-4.481808482734263e-23,3.630508169536788e-23,975544.0173340839
7024,True,,1.0169270359627953,-0.0010256326937498172,-0.000685281251505332,-0.0006259109413533798,0.0005317579868415962,0.045589034916683945,13667243.694061907,-9365.9058632951,7267.665992427859,2.2883924325756654e-20,-1.568192430130783e-23,1.2168709530499789e-23,976556.1280538267
7025,True,,1.0205036729913837,0.0004259716125069053,-0.0007146327031992142,-3.97211064897061e-06,-0.001780051456381194,0.04571961158036371,13706369.519698909,-9795.019900909747,-24398.04302523885,2.2949572249130456e-20,-1.6400514853661768e-23,-4.0851419505390104e-23,982167.0665138221
7026,True,,1.021506722246728,0.0016218472295937549,0.0012388591201213405,-0.0008099058698865891,-0.0008496110937250645,0.045593010675320324,13668425.315824239,16933.253360206272,-11612.845782076793,2.2885906946185358e-20,2.835241454253007e-23,-1.9444120431438594e-23,976726.7298507999
7027,True,,1.0271687364391164,0.00031406791326357556,0.0005986157863463418,-7.028477179148037e-05,-0.0001506209380528651,0.045956286997226974,13777345.614678403,8247.336578896036,-2075.1567203613886,2.3068663482653797e-20,1.3809266130627943e-23,-3.474623733383189e-24,992378.2794430386
7028,True,,1.0205922317931955,-0.0008779065179087662,0.001573831159374781,0.0013777834584455923,-0.0007931393440977045,0.04555557415110149,13657196.34065126,21494.121150616193,-10832.059747837713,2.286706646881238e-20,3.598890173211117e-23,-1.8136770100512463e-23,975120.9030052829
7029,True,,1.022130651859165,0.0006630815183451186,-0.00019672177704082585,0.000658839974913099,0.00140108030488311,0.04571519818761823,13705057.915748272,-2696.083347633437,19201.886723037267,2.2947371495394e-20,-4.514247698989901e-24,3.2151110251032614e-23,981977.157344064
7030,True,,1.0136769213535315,0.0004651665624929185,-0.0030617804867214236,0.001046861668599599,-0.0018309214835281714,0.04533737450063906,13591716.451741757,-41614.85221299346,-24885.36564951727,2.2757203408830415e-20,-6.967756132950723e-23,-4.166665262624814e-23,965787.7170311233
