t,phase_error,continuation_mismatch,input_signal
171,1.5557641983032227,0.01203376054763794,0.0
172,1.4895694255828857,0.013622522354125977,0.0
173,1.3336632251739502,0.6794515252113342,0.0
174,1.1189111471176147,0.6377184987068176,0.0
175,0.8125928640365601,0.5296957492828369,0.0
176,0.8186041712760925,0.00949770212173462,0.0
177,0.8559272885322571,0.38163357973098755,0.0
178,1.0842939615249634,0.24490749835968018,0.0
179,1.3216911554336548,0.4449959397315979,0.0
180,1.4619089365005493,0.008544445037841797,0.0
181,1.6161326169967651,0.004490256309509277,0.0
182,1.8071479797363281,0.7122976183891296,0.0
183,1.857041835784912,0.7708132266998291,0.0
184,1.9092217683792114,0.9183899164199829,0.0
185,1.9071177244186401,0.0386275053024292,0.0
186,1.9123249053955078,0.03799790143966675,0.0
187,1.9088826179504395,0.03548276424407959,0.0
188,1.8757389783859253,1.017645001411438,0.0
189,1.8289183378219604,0.054758429527282715,0.0
190,1.7795487642288208,0.0409432053565979,0.0
191,1.7028064727783203,0.6738640069961548,0.0
192,1.6074306964874268,0.636412501335144,0.0
193,1.467482328414917,0.6082795858383179,0.0
194,1.34633207321167,0.4686930775642395,0.0
195,1.2762439250946045,0.023175179958343506,0.0
196,1.1580219268798828,0.021617889404296875,0.0
197,1.1690356731414795,0.37741243839263916,0.0
198,1.1720260381698608,0.4458068013191223,0.0
199,1.1988919973373413,0.45321130752563477,0.0
