theorem_id,N,gamma,steps,mean_residue,final_fragmentation,final_agreement,admissibility_surface_shift,basin_area_delta
T003,2048,0.25,10,0.5275734263465006,0.4450058588577121,0.6662456058567159,506.12446798733663,126.53111699683416
T003,2048,0.25,50,3.2170270351059496,0.23027978127294954,0.8272901640452878,2263.366269932032,565.841567483008
T003,2048,0.25,100,7.516303881112141,0.07542057813867324,0.943434566395995,3470.4131329514453,867.6032832378613
T003,2048,0.25,250,22.184106231109105,0.008006944025883074,0.9939947919805877,4080.0135800464486,1020.0033950116122
T004,256,0.01,10,0.004365349623094907,0.9933583825180179,0.2549812131114865,0.1788008178932614,0.04470020447331535
T004,256,0.01,50,0.020861386961436003,0.9953332441700381,0.2535000668724713,0.8543932876968938,0.21359832192422346
T004,256,0.01,100,0.03902667120506135,0.9941885468316538,0.25435858987625964,1.5982205661312037,0.3995551415328009
T004,256,0.01,250,0.10758465930310014,0.9945081514326451,0.2541188864255163,4.404298045720225,1.1010745114300562
T004,256,0.05,10,0.004354479121548893,0.9940274193801975,0.2544794354648519,0.8917002483176475,0.22292506207941187
T004,256,0.05,50,0.020369532895105683,0.9955906705588469,0.2533069970808649,4.1695566784478615,1.0423891696119654
T004,256,0.05,100,0.043607700634970555,0.9928870648108731,0.25533470139184505,8.921127808959682,2.2302819522399204
T004,256,0.05,250,0.14821433713690538,0.9918832618943292,0.2560875535792531,30.2421000207637,7.560525005190925
T004,256,0.1,10,0.004198246801748078,0.9957621644542293,0.2531783766593281,1.7192409748481623,0.4298102437120406
T004,256,0.1,50,0.022423628604765555,0.9943452526806927,0.25424106048948053,9.174428233712206,2.2936070584280515
T004,256,0.1,100,0.053077427583332636,0.990015475029667,0.25748839372774956,21.682919753497572,5.420729938374393
