id,active,lost_reason,x_m,y_m,y_prime_rad,z_m,z_prime_rad,beta,velocity_m_s,transverse_velocity_m_s,z_transverse_velocity_m_s,momentum_kg_m_s,transverse_momentum_kg_m_s,z_transverse_momentum_kg_m_s,kinetic_energy_ev
46,True,,1.022920843323125,0.00020084072935064263,-0.0006694781004602065,0.0007121465793946825,-0.002134681359845512,0.04613701224660577,13831493.692463856,-9259.88212375803,-29525.831764123373,2.315952167412628e-20,-1.5504792577961043e-23,-4.9438199220695505e-23,1000211.2841162072
47,True,,1.0198605582127518,0.0001126023349663114,1.8910074422290048e-06,0.00015400207096212236,-0.0007009335761083498,0.045778315986336665,13723990.501268115,25.952168174978173,-9619.605740530884,2.297913818493826e-20,4.345372132372695e-26,-1.6106849503856708e-23,984694.8835267357
48,True,,1.0135420093326482,-0.0003989262090018538,0.0025901058849684003,-8.004365247465051e-05,0.0010908515329352496,0.045634139437102816,13680716.801377567,35434.50509783411,14923.630894435744,2.290653041889741e-20,5.933033924219386e-23,2.4987623821682165e-23,978492.4641162703
49,True,,1.0152992306026096,-0.000542002570033196,0.0004543697452129279,0.0005711027148684974,-0.0012248543904519239,0.045600284631289505,13670609.749166368,6211.51146863409,-16744.506371421296,2.2889572088315816e-20,1.0400329037801004e-23,-2.803639286793944e-23,977038.8976992202
50,True,,1.012366458007896,0.0006537197018309425,0.001548886546100614,-0.00021655917805899638,0.0020432100141261613,0.045673129498178845,13692414.751583738,21207.996992357632,27976.47893800467,2.2926157966488404e-20,3.5510017628071297e-23,4.6842955542567376e-23,980167.8592792315
51,True,,1.0148792561672366,-0.0007074366827501319,0.0022731609939990933,0.00076389506061492,0.0005367504258442328,0.045683359826427614,13695489.3751885,31132.05224140751,7351.059754277593,2.2931316759937077e-20,5.212657479972663e-23,1.2308394036065219e-23,980607.6929030104
52,True,,1.0198465368237708,-0.0001079359678257462,0.00219153750251563,0.00028676420274791504,-0.001170588737812069,0.04591771158058712,13765741.131795947,30168.13794025277,-16114.021536516697,2.3049192110498488e-20,5.051316891284482e-23,-2.698112470021632e-23,990710.3480789026
53,True,,1.013056091112566,-0.001156714407866935,0.0013549267797183786,-7.73903140864712e-05,-0.0008279471231225903,0.045534085306504116,13650758.147844039,18495.777777972744,-11302.105936949732,2.2856264198726395e-20,3.096856444717282e-23,-1.8923778188665377e-23,974199.7460098605
54,True,,1.0147681836833857,0.0003400449123119878,-0.00028342733814566777,-0.0007102814266472789,-0.0021910725733164647,0.04578520258216766,13726024.922920318,-3890.3307072244006,-30074.716749268955,2.298255183554277e-20,-6.5138834905427186e-24,-5.035643899168174e-23,984991.6348776226
55,True,,1.01269434317813,-0.00033273042844324724,0.0015208965572473885,0.00045163893982727625,0.003171274998111986,0.045595576739192276,13669125.480528712,20789.325883918675,43348.55588245619,2.2887081959446382e-20,3.480888415756082e-23,7.258123079773219e-23,976836.8488874662
