temperature,lambda,eta,mean_relative_improvement,median_relative_improvement,improvement_ci_low,improvement_ci_high,seed_consistency,standardized_effect,mean_jsd,finite_history_win_rate,shuffled_win_rate,random_win_rate,mean_best_history_k,candidate_stable,adjacent_stable_support,stable_region
0.25,0.7286,0.025,0.22456935283340274,0.20861825755209407,0.12064133917215965,0.35150605818787706,0.875,1.2547379631642508,0.1084290823797848,0.875,1.0,1.0,15.75,True,1,False
0.25,0.7286,0.1,0.17354099137779455,0.12814301053889848,0.0763166104547605,0.27067675703509203,0.75,1.1713268381972743,0.10852261366138699,1.0,1.0,1.0,13.75,False,4,False
0.25,0.7286,0.175,0.16973593006724472,0.17464509721548724,0.08802743708261775,0.2535927655899402,0.875,1.2311388883304668,0.1057693756469476,1.0,1.0,1.0,20.0,True,2,False
0.25,0.7286,0.25,0.11811020255777122,0.08181673730984204,0.04312503909401474,0.19659647195997934,0.75,0.947775427076211,0.09929513268901267,0.875,1.0,1.0,18.5,False,4,False
0.25,0.7286,0.325,0.15071878269643807,0.1402764578949453,0.06440978522851519,0.2401049243747836,0.75,1.1411192796420309,0.09451657158188734,1.0,1.0,1.0,25.0,False,2,False
0.25,0.7286,0.4,0.14184087370080006,0.054024067303206844,0.03040518873905129,0.29599207671332467,0.5,0.6719412383735204,0.10753305195487264,0.875,1.0,1.0,17.125,False,1,False
0.25,0.8543,0.025,0.2422615176565968,0.20149068320831592,0.10594191148312314,0.41932592759878706,1.0,0.9540011613820388,0.09591710401533703,1.0,1.0,1.0,19.125,True,3,True
0.25,0.8543,0.1,0.1119539076372872,0.061499063255526426,0.028808958896933693,0.19493566286833572,0.625,0.8275102574222177,0.10928334352592711,1.0,1.0,1.0,26.0,False,6,False
0.25,0.8543,0.175,0.2949109259556255,0.2260598830536108,0.12900483255370507,0.4866723841424259,0.875,1.1131743659370728,0.10152508569972198,0.875,1.0,1.0,24.625,True,3,True
0.25,0.8543,0.25,0.09128810879164152,0.061273942974418905,0.02817955357366267,0.16172266089815218,0.625,0.8876400816887479,0.09820309598905581,0.75,1.0,1.0,21.0,False,5,False
0.25,0.8543,0.325,0.21146210288069206,0.20856193099351483,0.12814334970295138,0.2834671977658169,0.875,1.731318881756917,0.10568370574848551,1.0,1.0,1.0,20.0,True,3,True
0.25,0.8543,0.4,0.13091959680863668,0.14459642455226723,0.05904818382831619,0.21442543217443524,0.75,1.1095091381466493,0.10326462353374524,0.875,1.0,1.0,25.0,False,3,False
0.25,0.98,0.025,0.13833460958677976,0.13932236194020461,0.06692454441886139,0.22053450764348512,0.875,1.1125020594170933,0.09464987463404946,1.0,1.0,1.0,30.0,True,2,False
0.25,0.98,0.1,0.22671511534648492,0.255874666549861,0.11930960554057925,0.3276628988110616,0.875,1.478571615275221,0.09504912473326797,1.0,1.0,1.0,26.5,True,3,True
0.25,0.98,0.175,0.19937210082771456,0.15991588609274882,0.06553658932883327,0.3382351397240327,0.625,0.9624434327530738,0.11483854763160403,0.75,1.0,1.0,30.0,False,3,False
0.25,0.98,0.25,0.16367018532344513,0.1356708673562408,0.0760633432944346,0.26174180492942745,0.875,1.1087612261664548,0.0907937149509751,1.0,1.0,1.0,32.0,True,3,True
0.25,0.98,0.325,0.19907295297002925,0.22000542475968737,0.11892340929820469,0.27167406371247027,1.0,1.6847345704641763,0.11452330176987358,1.0,1.0,1.0,27.0,True,3,True
0.25,0.98,0.4,0.20723696801834476,0.17276955397157065,0.08918143918150116,0.32283105654129074,0.875,1.2138483533800426,0.12242636662688751,1.0,1.0,1.0,25.5,True,2,False
0.4,0.1,0.025,0.22054576276797336,0.177457203769786,0.09691993084665691,0.36463326451424993,0.875,1.1189752233260417,0.09889242576184212,1.0,1.0,1.0,3.75,True,3,True
0.4,0.1,0.1,0.20809432465319555,0.19741948285075162,0.13727194724301983,0.300291598950577,1.0,1.5615802969479322,0.09798462293986274,1.0,1.0,1.0,7.0,True,5,True
