temperature,lambda,eta,seed,full_log_loss,memoryless_log_loss,random_log_loss,shuffled_log_loss,finite_history_log_loss,best_history_k,strongest_control_log_loss,relative_improvement,paired_future_jsd,random_residue_jsd,shuffled_residue_jsd,finite_history_jsd,mean_residue_norm,beats_memoryless,beats_random,beats_shuffled,beats_finite_history
0.08,0.2257,0.25,0,0.17724817146037325,4.591588472578776,5.831731086283435,4.883003373288988,0.18531498567739296,2,0.18531498567739296,0.04353028540855778,0.23312811001469091,0.33075111591680345,0.2582695152364877,0.003930609866746577,0.720115088885434,True,True,True,True
0.08,0.2257,0.25,1,0.053280770917461626,1.0132850090967749,2.980263273793,0.9183419426168857,0.05347623873604801,1,0.05347623873604801,0.0036552275030259426,0.23149807537407277,0.2638989971085544,0.1529473855816582,0.000957461351908292,0.7011190876763042,True,True,True,True
0.08,0.2257,0.25,2,0.00016815192083594947,1.1571463089218674,3.243661291352497,3.5371877785962322,0.0001135287107563292,32,0.0001135287107563292,-0.4811400544912383,0.2628596172230367,0.2832802160362892,0.28405921719523547,1.4661352361089004e-05,1.0456885291969058,True,True,True,False
0.08,0.2257,0.25,3,0.27949976379188907,1.276356340726304,3.5671157902858814,3.6724753632469187,0.3272208566141152,4,0.3272208566141152,0.1458375646223023,0.16024143540875715,0.24751873592497842,0.236440828963963,0.008917315334004675,0.7482915091964824,True,True,True,True
0.08,0.2257,0.25,4,0.3544434571038824,2.5748380777699884,4.765591710888537,5.061796117774769,0.3627627039336743,4,0.3627627039336743,0.022933026850833465,0.17974342033317883,0.26631590224223534,0.2843663472571157,0.007253924956755283,0.7525527422637105,True,True,True,True
0.08,0.2257,0.25,5,0.29634575891154136,2.6517309760167227,5.848541643461297,4.4049094567856315,0.35354139787678174,4,0.35354139787678174,0.161779184301281,0.19332612104420852,0.2723442709460815,0.20999361309029257,0.00930811346611717,0.7119648955342001,True,True,True,True
0.08,0.2257,0.25,6,4.801247114153248e-06,0.007673882090450562,1.8299507846246794,1.6437362046348698,0.0,1,0.0,-4801247.114153248,0.002645020062978928,0.1547542352767158,0.1451947192701944,1.6639748540263151e-06,0.7814981358327205,True,True,True,False
0.08,0.2257,0.25,7,0.20024290737577227,8.800502431229527,10.509140928186458,8.131326806989483,0.5412409914124839,4,0.5412409914124839,0.6300300410484512,0.3907026476454269,0.4016378976851186,0.3504786475571113,0.009810960131739785,0.6947896734323553,True,True,True,True
0.08,0.2257,0.325,0,0.10781482973244907,0.9082267045313516,2.9617688610058153,1.5556358862942425,0.13514920374463624,8,0.13514920374463624,0.20225331156101614,0.0794800435609632,0.24199002888186374,0.10637814051792568,0.0022054030153383286,0.8771938608014457,True,True,True,True
0.08,0.2257,0.325,1,0.05517193483816266,1.0132850090967749,2.7975509554885436,1.089267213470229,0.053476238736048044,1,0.053476238736048044,-0.031709337496310476,0.23079918518093154,0.24728720654688843,0.149800267966538,0.0012176056232510346,0.9114573206508311,True,True,True,False
0.08,0.2257,0.325,2,0.012419946523342107,1.8664941117555207,3.5711239517477926,3.5310725048439857,0.012267498668883357,4,0.012267498668883357,-0.012426971347095877,0.23606273726878785,0.26374172096686654,0.26083261835764027,0.00032286795090976636,1.2658221569223598,True,True,True,False
0.08,0.2257,0.325,3,0.22315556961547559,1.8663700415685074,4.672510495355948,3.884850920390848,0.37916150488256106,16,0.37916150488256106,0.41144982615101106,0.2185446311500821,0.28062806135316,0.23751898435518293,0.0074089648463618,0.9830161241598175,True,True,True,True
0.08,0.2257,0.325,4,0.40279496689532535,3.011867401216162,5.0644247338952,5.141064698798156,0.46668039786108706,16,0.46668039786108706,0.13689332412195715,0.18838143778074695,0.29363534870196717,0.27527615349763723,0.009351219094213799,0.9652910304292573,True,True,True,True
0.08,0.2257,0.325,5,0.27025037082017866,2.370317269678993,4.7147582239459656,4.447880717923408,0.31111593911796365,4,0.31111593911796365,0.131351573994061,0.18599296210265262,0.2727962781437684,0.22148610448358705,0.007758441893907953,0.9247718307960484,True,True,True,True
0.08,0.2257,0.325,6,4.241363827102104e-06,0.007673882090450562,1.6926708375876909,1.9737365474854818,0.0,1,0.0,-4241363.827102104,0.0026467379391380158,0.14168235555958936,0.15436297577623656,1.469932385121279e-06,1.0159475765825363,True,True,True,False
0.08,0.2257,0.325,7,0.2176264366717454,8.565693169297944,9.786429224828293,7.106326896970359,0.7370584006935518,2,0.7370584006935518,0.7047365087122474,0.32548806488731646,0.3851134853677059,0.33383659603483967,0.012820674768261495,0.9466091896169091,True,True,True,True
0.08,0.2257,0.4,0,0.01145738081248428,0.0857247965104689,3.4367260375600557,0.49390173710203,0.010895935699564461,2,0.010895935699564461,-0.051527939261082525,0.02354522470881535,0.26882740429112834,0.0724001268837046,0.001014853895357991,1.0516597610388816,True,True,True,False
0.08,0.2257,0.4,1,0.042568477771745446,1.015908642332921,2.65348096178533,1.0809096489217775,0.0426296805385319,2,0.0426296805385319,0.001435684387339881,0.23284910923074756,0.24486267181084362,0.15652993195632017,0.0011525452199125205,1.1194880222662937,True,True,True,True
0.08,0.2257,0.4,2,0.03229418948336388,2.7520891796206026,3.5690484085314216,3.224855027338675,0.0345969823717976,2,0.0345969823717976,0.06656051281255347,0.18896244495581993,0.24031191144581357,0.2432816032731415,0.0010117534193792926,1.3867411332252906,True,True,True,True
