step,time,order_parameter,edge_count,avg_degree,candidate_pairs,edge_added,recouple_asymmetry,inadmissible_edge_added,inadmissible_edge_add_fraction,traceability_failures,traceability_failure_fraction,trace_depth_mean
247,12.350000000000001,0.47244871388636556,309,12.36,68,1,0.014705882352941176,0,0.0,0,0.0,0.0
248,12.4,0.47478382467925956,310,12.4,68,2,0.029411764705882353,0,0.0,0,0.0,0.0
249,12.450000000000001,0.4771126628786354,312,12.48,64,2,0.03125,0,0.0,0,0.0,0.0
250,12.5,0.4794652202077036,314,12.56,61,2,0.03278688524590164,0,0.0,0,0.0,0.0
251,12.55,0.48185506971962017,314,12.56,59,1,0.01694915254237288,0,0.0,0,0.0,0.0
252,12.600000000000001,0.4842324870070669,314,12.56,59,1,0.01694915254237288,0,0.0,0,0.0,0.0
253,12.65,0.48660670526077043,315,12.6,62,1,0.016129032258064516,0,0.0,0,0.0,0.0
254,12.700000000000001,0.489018363359951,314,12.56,60,1,0.016666666666666666,0,0.0,0,0.0,0.0
255,12.75,0.4913891383965469,315,12.6,59,1,0.01694915254237288,0,0.0,0,0.0,0.0
256,12.8,0.49379645251726756,315,12.6,62,1,0.016129032258064516,0,0.0,0,0.0,0.0
257,12.850000000000001,0.49619232854135015,316,12.64,62,2,0.03225806451612903,0,0.0,0,0.0,0.0
258,12.9,0.49859570372299833,316,12.64,61,0,0.0,0,0.0,0,0.0,0.0
259,12.950000000000001,0.5010361387187579,312,12.48,60,0,0.0,0,0.0,0,0.0,0.0
260,13.0,0.5033516905779555,314,12.56,62,3,0.04838709677419355,0,0.0,0,0.0,0.0
261,13.05,0.5056617946894506,313,12.52,60,0,0.0,0,0.0,0,0.0,0.0
262,13.100000000000001,0.507956367856648,309,12.36,61,1,0.01639344262295082,0,0.0,0,0.0,0.0
263,13.15,0.5100169548342715,310,12.4,60,2,0.03333333333333333,0,0.0,0,0.0,0.0
264,13.200000000000001,0.5120571034756605,310,12.4,61,2,0.03278688524590164,0,0.0,0,0.0,0.0
265,13.25,0.5140273416642542,307,12.28,60,0,0.0,0,0.0,0,0.0,0.0
266,13.3,0.5159187103229305,307,12.28,61,2,0.03278688524590164,0,0.0,0,0.0,0.0
267,13.350000000000001,0.5177226071761316,307,12.28,57,1,0.017543859649122806,0,0.0,0,0.0,0.0
268,13.4,0.5194969039998195,307,12.28,56,0,0.0,0,0.0,0,0.0,0.0
